spectrum_key	peptide_key	number_of_nodes	number_of_edges
-4072630480119560950	1526271875777244526	9	8
6453829306037783590	7326875935706676482	11	17
-2473318322999806002	-7229122234444738036	9	8
-2572679644120284412	-7229122234444738036	9	8
3501034992987702797	1526271875777244526	9	8
-8123935568370430807	-7173683247164420531	11	18
4444481580131044046	-8546626484350481403	10	9
-9008158072101601402	4912662101621310070	15	52
-8082997404655357690	-7173683247164420531	11	18
-8082994725820077180	-6496097466802080650	17	60
3314859869667456941	5675260193225989033	15	52
4436330390073824408	-7173683247164420531	11	18
-8086660687573229492	7326875935706676482	11	17
-2063320975734262516	-5971279552209938282	13	38
5049885439499941563	3570439050552151534	12	27
-2534615705601227695	-1670719966832930144	11	24
-2062254943852844198	-2502103907318661911	13	35
-7831588159287275339	-2047796860535679524	15	51
-8121026276966615469	-7173683247164420531	11	18
3838893465450366926	3911317517361566372	10	16
6189665260173960345	455094006162096435	11	17
-2534612066837405997	1526271875777244526	9	8
-5556218187184661213	-6188816532915686489	17	68
3843311648747382770	-4141924400624982275	15	51
-685391312651022708	7326875935706676482	11	17
-1828913586865744337	-2502103907318661911	13	35
-1827724469685204871	6703988564554266031	14	44
-9137903296448244061	3570439050552151534	12	27
8080030060834771874	-2327580186528642643	15	51
3496620795083826737	1526271875777244526	9	8
-4734302468424467091	-5920823008027416414	14	42
5215161927216615938	1526271875777244526	9	8
-7176737244604363908	5753763298208735006	12	26
8582710848086218393	-4523145997806382515	11	24
8733782288262584673	1526271875777244526	9	8
-699095121119106528	-6496097466802080650	17	60
-4734299922429220881	1871735970341683125	13	34
-3754777306170850992	3464211861741338456	13	34
4209941833543072097	5494518987991721523	12	25
-2468728207530518542	4912662101621310070	15	52
-2851621594086091215	1526271875777244526	9	8
-1831893247015818027	6703988564554266031	14	44
-661064050307043979	-8546626484350481403	10	9
701937476519940833	3911317517361566372	10	16
6243994247432801645	-1862126045186441929	14	41
-664727470529643457	-8546626484350481403	10	9
6243990329199892463	2668074036030438672	12	25
6275577769435641315	-7229122234444738036	9	8
-6660451485807025085	1526271875777244526	9	8
-1971500572569085399	-2502103907318661911	13	35
697926837751932879	1526271875777244526	9	8
8256057175625892117	1526271875777244526	9	8
4958639051071514265	-1245983525525651137	12	25
-2846483955874438369	1526271875777244526	9	8
-8365386015052406697	-2502103907318661911	13	35
8905728465838391032	6703988564554266031	14	44
3785296034505028019	4002520323374421469	16	60
900677321527666188	1526271875777244526	9	8
-2468429877251885815	1526271875777244526	9	8
-2339457791232767141	-2502103907318661911	13	35
-2920893336327583433	-8546626484350481403	10	9
-2327119626402949875	-2502103907318661911	13	35
8729911351865404495	1526271875777244526	9	8
-4244611907484907529	-8546626484350481403	10	9
-3749781844135627650	3464211861741338456	13	34
-3074532261889694161	-2502103907318661911	13	35
-2701876750056400884	7326875935706676482	11	17
6279711335286313295	-7229122234444738036	9	8
6276609127176769305	4885281803576604551	15	52
-3068662471218513799	-2502103907318661911	13	35
3500491800313598751	1526271875777244526	9	8
-2373677520059406402	-2502103907318661911	13	35
-3042316198522142462	8287745378248553789	14	43
-4244615962859954827	2668074036030438672	12	25
6612658810628550733	-7173683247164420531	11	18
8161165267206520098	-5711997489788294977	15	51
-3042315441653130368	-2502103907318661911	13	35
2380107296341361731	4988682325183631880	10	16
-5555671146270455759	4530625241604008029	16	60
-3073500901466301227	-2502103907318661911	13	35
5734819101483528455	1526271875777244526	9	8
6245591931722168889	3978554926940543744	15	51
3784634147030027081	6703988564554266031	14	44
8589611018167145515	-8546626484350481403	10	9
-292838019131686826	1807690957368059848	14	33
-4734943935970856765	2668074036030438672	12	25
-700450020523259914	-8546626484350481403	10	9
6188052664943506357	-3941091501782775424	12	17
-7969595197408833851	8124257509195293846	13	34
6188054379826932023	-8546626484350481403	10	9
6856981441573639433	1526271875777244526	9	8
-1830680645988803711	-2502103907318661911	13	35
-7462210230341073914	-8546626484350481403	10	9
-700446244321600140	-6188816532915686489	17	68
-504116689762230536	8287745378248553789	14	43
-1830680168292155133	-2502103907318661911	13	35
6347688681725343756	-8546626484350481403	10	9
3007807812160201387	-8546626484350481403	10	9
-654730182370607475	-6188816532915686489	17	68
8121932838289695651	-2327580186528642643	15	51
707839455605162642	3570439050552151534	12	27
8145679178445780641	3464211861741338456	13	34
8410160608742224390	5602135353673124542	13	36
-876850892021146334	-2502103907318661911	13	35
-4735619018113349063	1871735970341683125	13	34
-6311750493019838813	7326875935706676482	11	17
8615109485684106904	-1245983525525651137	12	25
6241316517601402517	3570439050552151534	12	27
8322032434123686932	1526271875777244526	9	8
-2337674597275640713	6820722709596620530	15	45
8318021795333796154	1526271875777244526	9	8
599080579276616987	1526271875777244526	9	8
6242383538273665219	-2151538362028565315	13	35
-3074999375264814207	-2502103907318661911	13	35
3813906678817073192	8657030874244246787	15	52
8769087344373980238	1526271875777244526	9	8
-2337672882629261579	3570439050552151534	12	27
662922315924240736	5494518987991721523	12	25
-3074995455148068605	5602135353673124542	13	36
-4245826618233230815	3638223601223034503	13	38
-3040961831631016748	-8166843402349233581	14	43
-6377549965672504324	4530625241604008029	16	60
-3078654544821683509	-2502103907318661911	13	35
6342692880387837218	-6188816532915686489	17	68
-2919118062505722269	-8546626484350481403	10	9
3003797512698926981	-7173683247164420531	11	18
3304228967776590316	1526271875777244526	9	8
-7466220530096983768	5834341016277241492	10	16
3784081872526154853	-5629245545953995641	17	67
-2253167819824610021	1526271875777244526	9	8
-131254795208739653	-3855604382815201999	15	51
-498980220745061418	-2502103907318661911	13	35
8315833156837105556	1526271875777244526	9	8
3831269613619184303	6550796982592730576	14	43
-4241656766619726195	-8546626484350481403	10	9
8771398576265491168	1526271875777244526	9	8
-1151254565732032235	1526271875777244526	9	8
-3027256948880045960	8287745378248553789	14	43
-3043871123012282834	5602135353673124542	13	36
6277041315385721527	1526271875777244526	9	8
4863204906430567331	8239884213292845317	16	59
5734271922144699413	1526271875777244526	9	8
6277037534895396917	4885281803576604551	15	52
-2221400764248733764	-2502103907318661911	13	35
-7970143062994510889	-2502103907318661911	13	35
1027471361199295016	8124257509195293846	13	34
-4894345995556915630	6400813432865502337	18	68
-1185391877003731246	1526271875777244526	9	8
-7461632059600105196	1526271875777244526	9	8
2379524040262717777	8123358751276629834	12	26
-126696016089082745	5753763298208735006	12	26
7747292808480452799	5753763298208735006	12	26
-6698508591847105924	-7173683247164420531	11	18
5470968356142338182	-8546626484350481403	10	9
6698219702537874532	-5711997489788294977	15	51
5970792906771899208	1526271875777244526	9	8
-6880023738869659989	5753763298208735006	12	26
7658533101766369474	2668074036030438672	12	25
-6685902188039273430	1526271875777244526	9	8
-4891366335433585496	-7173683247164420531	11	18
-4286784330819283269	1526271875777244526	9	8
3833547656260455485	6542820251680726358	11	17
7696370356924222503	-3875090541013566807	15	44
-4890176143547051266	8123358751276629834	12	26
933141257823983775	1526271875777244526	9	8
7657589704955451960	1871735970341683125	13	34
8121384971730745009	3439120851091554782	11	17
4995531089137980129	1526271875777244526	9	8
7750206532821600837	6437278352467469435	13	34
3818460097817348116	2668074036030438672	12	25
-6879084771771712431	-2327580186528642643	15	51
1836445211823048352	3464211861741338456	13	34
-8122381038002513019	8123358751276629834	12	26
3003253976616239767	7326875935706676482	11	17
-2533011890246012155	1526271875777244526	9	8
-8122379598269628153	-2502103907318661911	13	35
-2573858156796809518	1526271875777244526	9	8
-2570756828760251110	1526271875777244526	9	8
703286036403561134	-2315459394076759296	14	42
832145799752849140	3570439050552151534	12	27
91451692868512458	-2502103907318661911	13	35
-6382438410881588933	1526271875777244526	9	8
-8081498676598143406	-7335144685615329525	16	52
-2421769078866158776	-2327580186528642643	15	51
832149444956097654	3570439050552151534	12	27
-2528279089350240343	455094006162096435	11	17
-3357388106883794224	8123358751276629834	12	26
3830721678248744893	3464211861741338456	13	34
-130707684576550487	5753763298208735006	12	26
4438151827237771574	-8546626484350481403	10	9
-499523138318893372	-2502103907318661911	13	35
502163121000086589	7325830813958973150	12	25
-5368161321478582645	1526271875777244526	9	8
-2060643804301007116	-2502103907318661911	13	35
2384519840681927807	8123358751276629834	12	26
-2221983540414852434	-7399397502434219950	15	51
-1150671447130344441	4912662101621310070	15	52
-1607897740672214326	6703988564554266031	14	44
-2060646622719050634	3570439050552151534	12	27
5730400918118420795	1526271875777244526	9	8
-8082530037032534872	-7173683247164420531	11	18
-8076661338213670146	-7173683247164420531	11	18
-2848300265686341473	1526271875777244526	9	8
4587244920302028300	1526271875777244526	9	8
6853042389252376507	1526271875777244526	9	8
-7965146231812903175	-2502103907318661911	13	35
6856201779490691565	1526271875777244526	9	8
-8299758108141112134	-2502103907318661911	13	35
8580316195139229651	-8546626484350481403	10	9
2729289046653884468	1526271875777244526	9	8
-8363288214196458537	-2502103907318661911	13	35
8355483822333256725	1526271875777244526	9	8
-1413397232525183731	3570439050552151534	12	27
-1414587423472194725	3570439050552151534	12	27
4213534654895163343	-1881232282677543535	18	76
-4736411419886355417	2668074036030438672	12	25
8576661575170393753	2666757308101207756	13	33
-7174346194688601932	1043366308038842655	16	60
-9009159003264098028	1526271875777244526	9	8
8580320113342909777	-7173683247164420531	11	18
-1966351100462406521	5753763298208735006	12	26
3500337792796334239	1526271875777244526	9	8
8144783503521382591	3464211861741338456	13	34
8611444430144825980	7326875935706676482	11	17
2729289528879923894	3911317517361566372	10	16
8628058621590697002	-8546626484350481403	10	9
-662332651914461835	7326875935706676482	11	17
693640257166721761	7326875935706676482	11	17
5048907258846586921	2668074036030438672	12	25
8162145960496314018	3570439050552151534	12	27
6580678660826568580	7326875935706676482	11	17
4960748337161370961	7326875935706676482	11	17
3347891448943540244	3570439050552151534	12	27
-6381425423220609256	1526271875777244526	9	8
8144126014076664389	-8137584974122662092	14	43
6246384634134563879	8124257509195293846	13	34
698636883025885135	7326875935706676482	11	17
3864668225288512174	6550796982592730576	14	43
6575542191910068906	-8546626484350481403	10	9
-6391621705169800882	4885281803576604551	15	52
4960747857081755603	-8546626484350481403	10	9
-5537425536963191931	-6188816532915686489	17	68
-2696303974277486942	-6188816532915686489	17	68
-2335936911600182437	1388635841474298747	12	26
892380170617107980	1526271875777244526	9	8
-9140010027119485661	3978554926940543744	15	51
3685720373062365847	3911317517361566372	10	16
-5537422716394651385	-3875090541013566807	15	44
-2330068211841792755	-2502103907318661911	13	35
-3065704550122477447	-2502103907318661911	13	35
-3040206632194123062	-2502103907318661911	13	35
8899759797173649494	8239884213292845317	16	59
-4246724779348091841	-4766209310510537172	13	42
8351614264646652219	1526271875777244526	9	8
-1971346562234297943	5753763298208735006	12	26
-6377882780375853598	4530625241604008029	16	60
4209524081717424865	1526271875777244526	9	8
-8569429990595248041	-3305044926896298485	13	34
-2375786472904366348	-2502103907318661911	13	35
-3754922382974711088	6550796982592730576	14	43
-2334905553852227167	3570439050552151534	12	27
6614771365192706949	3464211861741338456	13	34
2818276039249291574	-8546626484350481403	10	9
-8359277914567418119	6703988564554266031	14	44
-2375787914788012938	3570439050552151534	12	27
3302266379341780232	1526271875777244526	9	8
-2254657764271617537	1526271875777244526	9	8
-2267243302042003543	-8546626484350481403	10	9
599838445217170181	5834341016277241492	10	16
-3078987153836471083	-2502103907318661911	13	35
700947981777328481	-8546626484350481403	10	9
-6720155466781543395	1526271875777244526	9	8
7661590330464905198	8124257509195293846	13	34
3964079524210135077	1526271875777244526	9	8
6614767722133926151	-6188816532915686489	17	68
-7214106048724173464	-2327580186528642643	15	51
7657922824402250790	2491998502196946225	14	42
-3880099842418554890	3638223601223034503	13	38
-6659472814942094639	-2502103907318661911	13	35
-3880099083432993420	-8546626484350481403	10	9
-6699976810269124968	2666757308101207756	13	33
-6900351925559934458	5753763298208735006	12	26
899109329588107422	1526271875777244526	9	8
8356066528576205063	1526271875777244526	9	8
-4072221408856928630	1526271875777244526	9	8
7661586553962118508	-7287493187839878232	14	43
-8363831200691159355	-2502103907318661911	13	35
2507487474428327926	2668074036030438672	12	25
5471761140764681880	-599030286037297442	13	33
7695615402969430585	3180452720150083827	13	34
-6723702507656048921	1526271875777244526	9	8
-6733894375335096143	1526271875777244526	9	8
5049450108908977467	7326875935706676482	11	17
896794501596943920	1526271875777244526	9	8
7746394479795275425	-8137584974122662092	14	43
8162729217581589424	7325830813958973150	12	25
-6876037516008866947	5753763298208735006	12	26
3690169888212832939	-7173683247164420531	11	18
2507485892960398708	7326875935706676482	11	17
-6879688634618892107	-5711997489788294977	15	51
3869257932667749010	7325830813958973150	12	25
6580135193261965974	-8546626484350481403	10	9
-6914055735774943574	8297358936213380539	11	17
7692706078841127107	-8546626484350481403	10	9
-4895242095760146356	8123358751276629834	12	26
92919380929275438	8287745378248553789	14	43
694218841394763763	4530625241604008029	16	60
-2568127989781550594	1526271875777244526	9	8
-1608689992786203436	-2502103907318661911	13	35
3989252536132817686	1526271875777244526	9	8
3842610617496893792	-7173683247164420531	11	18
105525767691925624	6703988564554266031	14	44
3685173057400334213	1526271875777244526	9	8
-2419877065333893204	-2327580186528642643	15	51
3864120633498351548	-2502103907318661911	13	35
3343442616758917160	-8546626484350481403	10	9
4208941099493533683	-7229122234444738036	9	8
6455938215634226540	3180452720150083827	13	34
3994126074785396666	1526271875777244526	9	8
-2571125239953943804	1526271875777244526	9	8
-2469997148933551776	7326875935706676482	11	17
1833710841270028868	-2502103907318661911	13	35
92244262818536660	8287745378248553789	14	43
-8084266005845974778	3464211861741338456	13	34
6455938837477644270	6550796982592730576	14	43
-8084267722638656636	8123358751276629834	12	26
-1611898349188508114	4064794848197573901	13	33
-1970803368620931909	-7287493187839878232	14	43
4591833390798923312	1526271875777244526	9	8
2314958782500747723	1526271875777244526	9	8
-1612965472000538504	-2502103907318661911	13	35
-8304348365074918266	5753763298208735006	12	26
-7829475285830120579	5753763298208735006	12	26
5591073127866348215	-7229122234444738036	9	8
3316970225732840549	-5711997489788294977	15	51
2314956928031073097	1526271875777244526	9	8
5591070313703745589	1526271875777244526	9	8
3968091266634933515	1526271875777244526	9	8
1837200707010883774	8371386130532257079	15	50
-2532221026069166821	5125541582210564031	16	60
