spectrum_key	peptide_key	number_of_nodes	number_of_edges
-4241656766619726195	-971972119423103052	13	35
-1151254565732032235	-182567638108928241	13	34
6277041315385721527	-182567638108928241	13	34
4995531089137980129	-182567638108928241	13	34
-7461632059600105196	-182567638108928241	13	34
-9009159003264098028	-182567638108928241	13	34
-5368161321478582645	-574999707468611984	13	35
8628058621590697002	-971972119423103052	13	35
8580316195139229651	-971972119423103052	13	35
5470968356142338182	4066965484202623066	13	36
892380170617107980	-182567638108928241	13	34
6575542191910068906	-971972119423103052	13	35
-2267243302042003543	-971972119423103052	13	35
3302266379341780232	-7425060290277130640	13	35
4960747857081755603	-971972119423103052	13	35
2818276039249291574	-971972119423103052	13	35
8356066528576205063	-182567638108928241	13	34
700947981777328481	-971972119423103052	13	35
-3880099083432993420	-971972119423103052	13	35
3964079524210135077	-574999707468611984	13	35
-6733894375335096143	-182567638108928241	13	34
-6723702507656048921	-182567638108928241	13	34
6580135193261965974	-971972119423103052	13	35
4208941099493533683	-8881249935239163276	13	34
3343442616758917160	-971972119423103052	13	35
-9013572784488988376	-8721393127279200332	12	26
2314958782500747723	-182567638108928241	13	34
-2571125239953943804	-7425060290277130640	13	35
5591073127866348215	-8881249935239163276	13	34
